                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1035,                 1.2533,                 1.3417,                 0.4507,                0.31273,                0.29102,                0.14659,                 1.8418,                 2.3205,                 1.8976,             0.00075798,             0.00075798,             0.00075798
                     35,                 1.1376,                 1.2618,                 1.3555,                0.35394,                0.36333,                0.26878,                0.15091,                 1.7753,                 2.1526,                 1.8912,             0.00074307,             0.00074307,             0.00074307
                     36,                 1.0965,                 1.2306,                  1.351,                0.33145,                0.37681,                0.29425,                0.16908,                 1.7671,                 2.3888,                  1.859,             0.00072816,             0.00072816,             0.00072816
                     37,                 1.0836,                 1.1884,                 1.3417,                0.34836,                0.37817,                0.32011,                0.17192,                 1.7688,                 2.4577,                 1.8684,             0.00071325,             0.00071325,             0.00071325
                     38,                 1.1467,                 1.1747,                 1.3518,                0.34949,                0.34935,                0.29166,                0.15296,                 1.7588,                 2.3665,                 1.8559,             0.00069834,             0.00069834,             0.00069834
                     39,                 1.0981,                  1.163,                 1.3211,                0.35144,                0.39055,                0.33209,                0.17984,                 1.7252,                 2.3991,                 1.8517,             0.00068343,             0.00068343,             0.00068343
                     40,                 1.1398,                 1.2106,                 1.3607,                0.38455,                0.38912,                0.33605,                0.18694,                 1.7728,                 2.3236,                  1.943,             0.00066852,             0.00066852,             0.00066852
                     41,                 1.0738,                 1.1697,                 1.3204,                0.38307,                0.35233,                 0.3183,                0.17613,                 1.7396,                 2.2934,                  1.905,             0.00065361,             0.00065361,             0.00065361
                     42,                 1.1009,                 1.1347,                 1.3246,                0.44066,                0.34982,                0.31612,                0.17547,                 1.7084,                 2.4023,                   1.84,              0.0006387,              0.0006387,              0.0006387
                     43,                 1.0686,                 1.0861,                 1.2873,                0.36425,                 0.4317,                0.33903,                 0.1836,                 1.7224,                 2.1399,                 1.8206,              0.0006238,              0.0006238,              0.0006238
                     44,                 1.0538,                 1.0271,                 1.2812,                0.32595,                0.42408,                0.34792,                0.18728,                  1.776,                 1.9341,                 1.8332,             0.00060889,             0.00060889,             0.00060889
                     45,                 1.0759,                 1.1041,                 1.3302,                0.45617,                0.29265,                0.29623,                0.16064,                 1.7816,                 2.1471,                 1.8459,             0.00059398,             0.00059398,             0.00059398
                     46,                  1.028,                 1.0341,                 1.2652,                0.38513,                0.39587,                0.28463,                0.16081,                 1.7486,                 2.5053,                 1.8683,             0.00057907,             0.00057907,             0.00057907
                     47,                 1.0687,                 1.0424,                 1.2942,                0.35673,                0.38217,                0.30049,                0.16716,                 1.6963,                 2.2975,                 1.8193,             0.00056416,             0.00056416,             0.00056416
                     48,                 1.0343,                 1.0042,                 1.2605,                0.38133,                0.40099,                 0.3378,                0.18633,                 1.7338,                 1.9939,                 1.9078,             0.00054925,             0.00054925,             0.00054925
                     49,                 1.0165,                 0.9881,                 1.2436,                0.41471,                 0.3206,                0.30091,                0.17054,                 1.7516,                 2.1695,                 1.8949,             0.00053434,             0.00053434,             0.00053434
                     50,                 1.0006,                 1.0116,                 1.2554,                 0.4161,                0.33142,                0.31959,                0.19022,                 1.7544,                 2.3521,                 1.8678,             0.00051943,             0.00051943,             0.00051943
                     51,                 1.0323,                 0.9784,                 1.2714,                0.38607,                0.40338,                0.35936,                0.20187,                 1.7496,                 2.1643,                 1.8983,             0.00050452,             0.00050452,             0.00050452
                     52,                 1.0079,                0.97466,                 1.2621,                0.43215,                0.36696,                0.32231,                0.18202,                 1.7402,                 2.1579,                 1.8721,             0.00048961,             0.00048961,             0.00048961
                     53,                 0.9789,                0.96748,                 1.2588,                0.31973,                0.44131,                0.33856,                0.19208,                 1.6688,                 2.0843,                 1.7944,              0.0004747,              0.0004747,              0.0004747
                     54,                0.99213,                0.95198,                 1.2507,                0.48151,                0.36914,                 0.3544,                0.19672,                 1.6608,                 2.1305,                 1.7973,             0.00045979,             0.00045979,             0.00045979
                     55,                0.99435,                0.94798,                 1.2605,                 0.4176,                0.38429,                0.34753,                0.19043,                 1.6579,                 1.9837,                 1.8067,             0.00044488,             0.00044488,             0.00044488
                     56,                 0.9883,                 0.9333,                  1.249,                0.35153,                0.44416,                0.35172,                0.18501,                 1.6694,                 2.1094,                 1.8099,             0.00042997,             0.00042997,             0.00042997
                     57,                0.97247,                0.89531,                 1.2309,                0.36063,                0.38821,                0.32506,                 0.1776,                 1.6684,                 2.3669,                 1.8188,             0.00041506,             0.00041506,             0.00041506
                     58,                0.91557,                0.85836,                 1.1908,                0.52961,                0.32683,                0.35018,                0.19601,                 1.7379,                 2.1735,                 1.8242,             0.00040015,             0.00040015,             0.00040015
                     59,                0.92519,                0.88684,                 1.2202,                0.45562,                0.32889,                0.35612,                0.20486,                 1.7272,                 2.1175,                 1.8173,             0.00038524,             0.00038524,             0.00038524
                     60,                 0.9326,                0.88581,                 1.2243,                0.46386,                0.35038,                0.36045,                0.20041,                  1.739,                 2.0415,                 1.8444,             0.00037033,             0.00037033,             0.00037033
                     61,                0.95153,                0.91004,                 1.2429,                0.34168,                0.46781,                0.36839,                0.20625,                 1.7004,                 2.0881,                 1.8075,             0.00035542,             0.00035542,             0.00035542
                     62,                0.93592,                0.83549,                 1.2191,                0.44245,                0.34166,                 0.3658,                0.20303,                 1.7026,                 2.1831,                 1.7867,             0.00034051,             0.00034051,             0.00034051
                     63,                0.90032,                0.84071,                 1.2029,                0.40176,                0.36997,                0.36272,                0.20367,                 1.7336,                 2.1195,                  1.792,              0.0003256,              0.0003256,              0.0003256
                     64,                0.92506,                  0.813,                 1.1983,                0.45177,                0.35246,                0.35217,                 0.1948,                 1.7923,                 2.0679,                 1.8233,             0.00031069,             0.00031069,             0.00031069
                     65,                0.90025,                0.81358,                 1.1907,                0.55667,                0.32539,                0.36496,                0.20441,                 1.7706,                 2.1994,                 1.8547,             0.00029578,             0.00029578,             0.00029578
                     66,                0.85216,                0.78134,                 1.1826,                0.42367,                0.40753,                0.37025,                0.21013,                 1.7414,                 2.2592,                  1.843,             0.00028087,             0.00028087,             0.00028087
                     67,                0.86911,                0.77699,                 1.1757,                0.48213,                0.38556,                0.37458,                0.20973,                 1.7005,                 2.1402,                 1.7994,             0.00026596,             0.00026596,             0.00026596
                     68,                0.86263,                 0.7889,                 1.1598,                0.43944,                 0.3808,                0.37924,                0.21419,                 1.7211,                 2.0775,                 1.8392,             0.00025105,             0.00025105,             0.00025105
                     69,                0.85885,                0.76138,                  1.171,                 0.4146,                0.41685,                0.38745,                0.21871,                  1.769,                 2.1152,                 1.8495,             0.00023614,             0.00023614,             0.00023614
                     70,                0.85645,                 0.7427,                 1.1551,                0.49955,                0.35114,                0.38607,                0.21614,                 1.7436,                 2.1493,                 1.8289,             0.00022123,             0.00022123,             0.00022123
                     71,                 0.8633,                0.75885,                 1.1642,                0.39858,                0.42113,                0.38016,                0.21339,                 1.6671,                  2.176,                 1.8032,             0.00020633,             0.00020633,             0.00020633
                     72,                0.88665,                0.76528,                 1.1725,                0.44241,                0.37773,                0.37438,                0.20866,                 1.6753,                 2.1537,                 1.7938,             0.00019142,             0.00019142,             0.00019142
                     73,                0.82389,                0.73881,                 1.1602,                0.55444,                 0.3091,                0.36726,                0.20723,                 1.6905,                 2.1492,                  1.813,             0.00017651,             0.00017651,             0.00017651
                     74,                0.79285,                0.78245,                 1.1414,                0.36145,                0.40497,                0.33499,                0.18695,                 1.7555,                 2.3209,                 1.8622,              0.0001616,              0.0001616,              0.0001616
                     75,                0.78404,                0.74605,                 1.1244,                0.41092,                0.36507,                0.31298,                0.16565,                 1.8041,                 2.4287,                 1.9207,             0.00014669,             0.00014669,             0.00014669
                     76,                0.74061,                0.69034,                 1.1017,                0.42423,                0.36954,                0.32661,                0.17626,                 1.7544,                 2.3387,                 1.8882,             0.00013178,             0.00013178,             0.00013178
                     77,                0.74136,                0.68529,                  1.113,                0.45498,                0.36459,                0.35669,                0.19456,                 1.7006,                 2.2342,                 1.8361,             0.00011687,             0.00011687,             0.00011687
                     78,                0.72856,                0.65368,                 1.0945,                0.44106,                0.38278,                0.36078,                0.20183,                 1.6786,                 2.2012,                 1.8189,             0.00010196,             0.00010196,             0.00010196
                     79,                 0.7083,                0.62603,                 1.0911,                0.45244,                0.37222,                0.37013,                0.20831,                 1.6692,                 2.1733,                 1.7994,             8.7048e-05,             8.7048e-05,             8.7048e-05
                     80,                0.75802,                 0.6974,                 1.1186,                0.43808,                0.38135,                0.36784,                0.20797,                 1.6905,                 2.1616,                 1.8027,             7.2139e-05,             7.2139e-05,             7.2139e-05
                     81,                0.70973,                0.65978,                 1.0915,                0.42752,                0.37541,                0.37425,                0.21131,                 1.6764,                 2.1543,                 1.7897,             5.7229e-05,             5.7229e-05,             5.7229e-05
                     82,                0.70349,                0.60637,                 1.0906,                0.45006,                 0.3632,                0.37666,                 0.2153,                 1.6764,                 2.1348,                 1.7874,             4.2319e-05,             4.2319e-05,             4.2319e-05
                     83,                0.67963,                 0.6167,                 1.0735,                0.47478,                0.34308,                 0.3767,                0.21706,                 1.6756,                 2.1254,                 1.7875,              2.741e-05,              2.741e-05,              2.741e-05
